,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Status,Sold Amount,Time Sold,Beds,Bath,Living Area,Lot Size,ZEstimate,Docket Count,Day Count,Place in Line,Court Year,Status Binary,Association Binary,Defendant Count,Previous Auctions
1678,2020-03-11,1253047,247887.72,76994.00,250194.36,Sold to Plaintiff,30100.00,10:06 AM,3.0,1.0,1730.0,7612.5,286652,56.0,16,16,2019,1.0,0.0,18.0,1.0
1679,2020-03-11,1252653,177773.94,133000.00,135000.00,Sold to 3rd Party,142000.00,10:05 AM,2.0,2.0,870.0,0.0,180002,77.0,16,15,2019,1.0,1.0,5.0,1.0
1680,2020-03-11,1241032,481298.02,233713.00,HIDDEN,Sold to 3rd Party,379900.00,09:30 AM,3.0,2.0,2320.0,3000.0,510208,224.0,16,6,2016,1.0,1.0,2.0,1.0
1683,2020-03-11,1241591,329590.09,221080.00,329590.09,Canceled per County,,,4.0,3.0,2250.0,4630.0,468758,74.0,16,13,2019,0.0,0.0,3.0,1.0
1684,2020-03-11,1252806,632108.00,205483.00,225565.06,Sold to Plaintiff,25100.00,09:27 AM,3.0,2.0,1830.0,4500.0,383498,181.0,16,4,2014,1.0,1.0,5.0,2.0
1685,2020-03-11,1252652,989777.06,421825.00,997180.82,Sold to Plaintiff,11100.00,09:26 AM,5.0,4.0,2700.0,5750.0,0,231.0,16,3,2014,1.0,0.0,5.0,4.0
1686,2020-03-11,1253057,1150727.07,600842.00,HIDDEN,Canceled per Order,,,5.0,3.0,3855.0,21253.0,1120387,112.0,16,7,2018,0.0,0.0,6.0,1.0
1687,2020-03-11,1247300,108434.29,135835.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1060.0,0.0,155477,68.0,16,8,2018,0.0,1.0,4.0,1.0
1688,2020-03-10,1250856,480795.31,307572.00,386000.00,Canceled per Bankruptcy,,,2.0,2.0,1041.0,0.0,303145,53.0,55,18,2018,0.0,1.0,4.0,1.0
1689,2020-03-10,1247302,97670.27,101830.00,HIDDEN,Canceled per Order,,,2.0,1.0,1400.0,0.0,258073,84.0,55,19,2018,0.0,1.0,6.5,2.0
1692,2020-03-10,1251855,142855.71,113950.00,133400.00,Sold to 3rd Party,155800.00,10:09 AM,2.0,1.0,1140.0,0.0,194236,103.0,55,15,2018,1.0,1.0,7.0,3.0
1693,2020-03-10,1251499,39556.78,71307.00,43973.78,Canceled per Bankruptcy,,,4.0,2.0,1322.0,5300.0,267727,69.0,55,6,2014,0.0,0.0,2.0,3.0
1694,2020-03-10,1248029,85352.65,51558.00,HIDDEN,Canceled per Order,,,3.0,1.0,870.0,6750.0,0,124.0,55,12,2017,0.0,0.0,3.0,5.0
1695,2020-03-10,1247478,142058.94,129590.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1170.0,2700.0,318857,43.0,55,23,2019,0.0,1.0,3.0,1.0
1696,2020-03-10,1252299,407783.96,157571.00,HIDDEN,Canceled per Bankruptcy,,,4.0,2.0,1943.0,2560.0,344036,82.0,55,14,2018,0.0,1.0,5.0,2.0
1697,2020-03-10,1253058,306614.11,45909.00,119250.00,Sold to Plaintiff,11100.00,10:16 AM,2.0,2.0,1317.0,0.0,126696,71.0,55,25,2019,1.0,1.0,3.0,1.0
1698,2020-03-10,1248822,152953.36,272570.00,HIDDEN,Canceled per Bankruptcy,,,4.0,2.0,1667.0,8560.0,349077,65.0,55,20,2018,0.0,0.0,5.0,2.0
1700,2020-03-10,1251463,52680.14,47160.00,55766.38,Canceled per Bankruptcy,,,3.0,2.0,1056.0,7105.0,268590,43.0,55,17,2018,0.0,0.0,4.0,2.0
1702,2020-03-10,1245133,333108.22,270499.00,HIDDEN,Sold to Plaintiff,283800.00,09:31 AM,3.0,2.0,1495.0,5200.0,443441,144.0,55,10,2017,1.0,0.0,3.0,8.0
1712,2020-03-10,1251624,156125.26,67342.00,HIDDEN,Canceled per Order,,,3.0,1.0,1146.0,7000.0,249364,122.0,55,11,2017,0.0,1.0,5.0,7.0
1713,2020-03-10,1252263,325508.23,190713.00,HIDDEN,Canceled per Order,,,3.0,2.0,1556.0,3161.0,321309,56.0,55,16,2018,0.0,1.0,2.5,3.0
1714,2020-03-10,1251693,300580.85,82464.00,HIDDEN,Sold to 3rd Party,30100.00,10:13 AM,0.0,0.0,0.0,5772.0,97510,88.0,55,22,2019,1.0,0.0,3.0,4.0
1717,2020-03-10,1251255,450358.25,423008.00,HIDDEN,Sold to 3rd Party,449800.00,09:16 AM,3.0,2.0,3063.0,13038.0,596517,122.0,55,4,2013,1.0,1.0,2.0,2.0
1718,2020-03-10,1251699,196837.53,63936.00,HIDDEN,Sold to 3rd Party,81300.00,10:10 AM,1.0,1.0,880.0,0.0,121442,80.0,55,21,2018,1.0,1.0,3.0,2.0
1720,2020-03-10,1252470,87981.37,99000.00,87981.37,Canceled per Order,,,2.0,1.0,859.0,2940.0,169582,49.0,55,26,2019,0.0,0.0,2.0,4.0
1729,2020-03-10,1251635,418124.60,236517.00,212305.98,Canceled per Bankruptcy,,,3.0,2.0,1472.0,6484.0,360037,51.0,55,7,2014,0.0,0.0,2.0,1.0
1731,2020-03-10,1251896,504081.00,302769.00,291923.56,Sold to 3rd Party,319600.00,09:27 AM,4.0,2.0,2168.0,4360.0,415066,177.0,55,5,2014,1.0,1.0,5.0,6.0
1732,2020-03-10,1252852,1382370.94,796636.00,665100.00,Sold to Plaintiff,100.00,10:17 AM,0.0,0.0,2869.0,0.0,0,66.0,55,27,2019,1.0,0.0,3.0,1.0
1733,2020-03-10,1251904,297368.30,97932.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1387.0,5100.0,312054,90.0,55,8,2016,0.0,0.0,3.0,2.0
1734,2020-03-10,1252265,212011.30,152925.00,HIDDEN,Canceled per Order,,,3.0,2.0,1242.0,9184.35,0,132.0,55,3,2012,0.0,0.0,2.0,4.0
1740,2020-03-10,1249092,239976.66,150024.00,HIDDEN,Sold to Plaintiff,160800.00,09:49 AM,4.0,2.0,1752.0,10000.0,319272,126.0,55,13,2017,1.0,1.0,3.0,5.0
1741,2020-03-10,1251492,289679.85,116171.00,HIDDEN,Canceled per County,,,3.0,2.0,1232.0,11001.0,158097,159.0,55,1,2009,0.0,0.0,5.0,4.0
1743,2020-03-09,1248602,581141.86,615236.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1816.0,46609.0,866567,104.0,66,39,2018,0.0,0.0,4.0,4.0
1744,2020-03-09,1250481,343385.90,164988.00,HIDDEN,Canceled per Bankruptcy,,,4.0,2.0,2374.0,8280.0,415706,195.0,66,5,2012,0.0,0.0,4.0,7.0
1745,2020-03-09,1248359,318057.56,86716.00,HIDDEN,Canceled per Bankruptcy,,,2.0,1.0,1414.0,10726.0,339113,263.0,66,2,2007,0.0,0.0,5.0,8.0
1746,2020-03-09,1246150,6830.13,42887.00,HIDDEN,Canceled per Order,,,3.0,2.0,1120.0,4350.0,248075,138.0,66,15,2015,0.0,0.0,3.0,7.0
1747,2020-03-09,1250053,335782.32,294784.00,HIDDEN,Canceled per County,,,3.0,2.0,2263.0,7575.0,547634,396.0,66,3,2009,0.0,0.0,7.0,6.0
1748,2020-03-09,1254683,345508.04,168317.00,HIDDEN,Canceled per County,,,2.0,1.0,2181.0,6000.0,327509,118.0,66,17,2016,0.0,1.0,2.0,5.0
1749,2020-03-09,1250646,213106.04,1176226.00,HIDDEN,Other,,,3.0,3.0,2524.0,7500.0,0,50.0,66,1,2007,,0.0,2.0,1.0
1750,2020-03-09,1246108,154341.80,85677.00,HIDDEN,Canceled per County,,,1.0,1.0,870.0,0.0,0,183.0,66,19,2016,0.0,1.0,7.0,3.0
1751,2020-03-09,1243142,56026.79,87500.00,HIDDEN,Sold to 3rd Party,72100.00,10:16 AM,2.0,1.0,1000.0,0.0,129181,136.0,66,32,2018,1.0,1.0,4.0,2.0
1752,2020-03-09,1247903,1388264.09,526529.00,HIDDEN,Canceled per Order,,,4.0,3.0,3955.0,9200.0,1647447,341.0,66,4,2012,0.0,1.0,9.0,7.0
1753,2020-03-09,1244876,423953.61,103934.00,HIDDEN,Canceled per Order,,,2.0,2.0,1812.0,10500.0,338882,101.0,66,30,2018,0.0,1.0,3.0,6.0
1754,2020-03-09,1252307,87706.83,57184.00,HIDDEN,Canceled per Order,,,2.0,2.0,1060.0,0.0,157323,97.0,66,18,2016,0.0,1.0,2.0,3.0
1755,2020-03-09,1241030,3822.16,92847.00,HIDDEN,Canceled per Order,,,3.0,2.0,1482.0,5000.0,323467,60.0,66,29,2018,0.0,0.0,3.0,2.0
1756,2020-03-09,1248571,1220535.01,624016.00,HIDDEN,Canceled per Order,,,4.0,3.0,3349.0,15321.0,553101,102.0,66,25,2017,0.0,0.0,2.0,3.0
1757,2020-03-09,1244858,179409.73,50653.00,HIDDEN,Canceled per Order,,,2.0,1.0,1410.0,7875.0,253135,103.0,66,31,2018,0.0,1.0,3.0,4.0
1758,2020-03-09,1246347,495082.58,132000.00,HIDDEN,Canceled per County,,,2.0,2.0,1110.0,0.0,188009,91.0,66,23,2017,0.0,1.0,5.0,1.0
1759,2020-03-09,1248062,616217.88,614472.00,HIDDEN,Canceled per Order,,,4.0,3.0,4186.0,15350.0,762124,164.0,66,22,2017,0.0,0.0,5.0,9.0
1760,2020-03-09,1247493,75018.68,130123.00,HIDDEN,Sold to 3rd Party,175100.00,10:32 AM,3.0,2.0,1440.0,0.0,250083,100.0,66,48,2019,1.0,1.0,4.0,2.0
1761,2020-03-09,1240641,446475.03,223293.00,HIDDEN,Sold to Plaintiff,196800.00,09:58 AM,3.0,2.0,2799.0,7013.0,0,150.0,66,21,2017,1.0,1.0,4.0,1.0
1762,2020-03-09,1250816,18840.98,184086.00,HIDDEN,Canceled per Order,,,3.0,2.0,1900.0,0.0,299043,42.0,66,37,2018,0.0,1.0,2.0,2.0
1763,2020-03-09,1244877,320431.62,226071.00,336608.30,Canceled per Bankruptcy,,,4.0,2.0,1753.0,7500.0,421786,70.0,66,44,2018,0.0,1.0,2.0,4.0
1764,2020-03-09,1249356,230754.36,104322.00,HIDDEN,Sold to 3rd Party,233700.00,10:23 AM,2.0,2.0,1222.0,2210.0,0,81.0,66,47,2019,1.0,1.0,3.5,1.0
1765,2020-03-09,1240920,570912.60,469282.00,HIDDEN,Canceled per County,,,3.0,2.0,1786.0,44866.8,751153,80.0,66,41,2018,0.0,0.0,3.0,2.0
1766,2020-03-09,1240642,238934.66,46707.00,HIDDEN,Canceled per Order,,,4.0,2.0,1714.0,5617.8,309269,86.0,66,42,2018,0.0,0.0,2.0,3.0
1767,2020-03-09,1248063,311674.00,194734.00,HIDDEN,Canceled per Order,,,4.0,2.0,1987.0,6720.0,394564,104.0,66,45,2018,0.0,0.0,5.0,5.0
1769,2020-03-09,1243197,494788.00,118029.00,HIDDEN,Canceled per Order,,,3.0,2.0,1372.0,2465.0,283467,135.0,66,26,2017,0.0,1.0,3.5,2.0
1770,2020-03-09,1250385,287106.36,153689.00,HIDDEN,Sold to 3rd Party,266100.00,09:05 AM,3.0,1.0,1356.0,6300.0,369091,131.0,66,6,2012,1.0,0.0,4.0,2.0
1771,2020-03-09,1248224,304694.03,166279.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,2025.0,11500.0,504110,83.0,66,16,2015,0.0,0.0,1.0,3.0
1773,2020-03-09,1246408,582550.18,327082.00,289827.24,Sold to Plaintiff,280100.00,09:57 AM,1.0,1.0,964.0,0.0,0,166.0,66,20,2016,1.0,1.0,7.0,1.0
1774,2020-03-09,1239687,73430.92,48981.00,75609.69,Sold to 3rd Party,135100.00,10:13 AM,2.0,2.0,910.0,2610.0,194369,166.0,66,28,2017,1.0,1.0,13.0,1.0
1775,2020-03-09,1248128,319633.74,36057.00,168000.00,Sold to Plaintiff,10100.00,10:04 AM,3.0,2.0,932.0,5056.8,215576,106.0,66,27,2017,1.0,0.0,5.0,2.0
1776,2020-03-09,1248439,284929.00,165044.00,HIDDEN,Sold to Plaintiff,195600.00,10:03 AM,2.0,2.0,1130.0,0.0,0,93.0,66,24,2017,1.0,1.0,4.0,2.0
1777,2020-03-09,1243134,280585.71,194800.00,HIDDEN,Sold to Plaintiff,145100.00,10:58 AM,1.0,1.0,845.0,0.0,171905,52.0,66,52,2019,1.0,1.0,2.0,1.0
1778,2020-03-09,1248608,283749.01,254747.00,HIDDEN,Canceled per Bankruptcy,,,2.0,1.0,1242.0,7706.4,392295,127.0,66,12,2015,0.0,0.0,4.0,3.0
1779,2020-03-09,1253353,263673.00,104378.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1146.0,2977.0,307457,57.0,66,13,2015,0.0,1.0,8.0,1.0
1780,2020-03-09,1249587,382053.05,308774.00,HIDDEN,Sold to Plaintiff,290000.00,10:36 AM,2.0,1.0,1847.0,9579.0,441237,71.0,66,49,2019,1.0,0.0,2.0,1.0
1781,2020-03-09,1251481,98519.43,131137.00,HIDDEN,Sold to 3rd Party,125600.00,11:13 AM,0.0,1.0,518.0,0.0,0,78.0,66,64,2019,1.0,1.0,2.0,1.0
1782,2020-03-09,1249469,193736.77,96009.00,HIDDEN,Sold to Plaintiff,117300.00,10:44 AM,1.0,1.0,813.0,0.0,151534,56.0,66,51,2019,1.0,1.0,3.0,1.0
1783,2020-03-09,1248449,799795.49,444901.00,HIDDEN,Canceled per Order,,,5.0,3.0,4744.0,24249.0,862515,221.0,66,9,2014,0.0,0.0,8.0,3.0
1784,2020-03-09,1251208,1586106.69,1589418.00,HIDDEN,Canceled per Bankruptcy,,,5.0,5.0,5488.0,39204.0,2160978,78.0,66,43,2018,0.0,0.0,4.0,2.0
1785,2020-03-09,1248429,401065.95,55065.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1157.0,5014.0,270232,153.0,66,14,2015,0.0,0.0,1.0,11.0
1786,2020-03-09,1249338,225563.49,141389.00,HIDDEN,Sold to Plaintiff,156400.00,11:02 AM,2.0,2.0,855.0,0.0,187693,72.0,66,55,2019,1.0,1.0,5.0,1.0
1788,2020-03-09,1249632,287870.20,155393.00,278000.00,Sold to Plaintiff,205200.00,09:53 AM,3.0,2.0,1504.0,10800.0,338563,187.0,66,10,2014,1.0,1.0,12.0,1.0
1789,2020-03-09,1247026,262338.85,209000.00,HIDDEN,Canceled per County,,,5.0,4.0,3120.0,2300.0,285792,64.0,66,54,2019,0.0,1.0,3.5,2.0
1790,2020-03-09,1240476,8292.82,92224.00,HIDDEN,Canceled per Order,,,3.0,2.0,1665.0,0.0,250358,23.0,66,53,2019,0.0,1.0,1.0,1.0
1792,2020-03-09,1249370,133231.69,343144.00,HIDDEN,Canceled per Order,,,4.0,4.0,4878.0,30728.0,746265,38.0,66,63,2019,0.0,0.0,2.0,1.0
1793,2020-03-09,1248435,337476.46,244079.00,HIDDEN,Canceled per Order,,,3.0,2.0,1375.0,7500.0,347442,70.0,66,56,2019,0.0,0.0,12.0,3.0
1794,2020-03-09,1249986,403549.49,342724.00,HIDDEN,Canceled per Order,,,3.0,3.0,2312.0,2748.0,450066,179.0,66,8,2013,0.0,1.0,7.0,3.0
1795,2020-03-09,1249202,245547.70,54028.00,HIDDEN,Sold to 3rd Party,185100.00,11:09 AM,2.0,1.0,784.0,7490.0,239392,79.0,66,61,2019,1.0,0.0,9.0,1.0
1796,2020-03-09,1248564,304835.25,151210.00,HIDDEN,Canceled per Order,,,3.0,2.0,1412.0,8475.0,565275,95.0,66,33,2018,0.0,1.0,6.0,3.0
1797,2020-03-09,1236871,185965.81,117000.00,120000.00,Canceled per Bankruptcy,,,1.0,1.0,810.0,0.0,0,81.0,66,36,2018,0.0,1.0,4.0,2.0
1798,2020-03-09,1248045,106177.21,215726.00,HIDDEN,Canceled per Order,,,3.0,2.0,1222.0,7500.0,396563,71.0,66,38,2018,0.0,0.0,5.0,2.0
1799,2020-03-09,1249339,179288.71,108000.00,HIDDEN,Sold to Plaintiff,136100.00,11:08 AM,1.0,1.0,720.0,0.0,151017,68.0,66,58,2019,1.0,1.0,4.0,1.0
1800,2020-03-09,1248186,101894.89,233673.00,HIDDEN,Canceled per Order,,,3.0,2.0,2080.0,7500.0,335624,69.0,66,59,2019,0.0,0.0,3.0,4.0
1802,2020-03-09,1248033,307791.03,188000.00,HIDDEN,Sold to 3rd Party,206900.00,10:22 AM,3.0,2.0,1252.0,1984.0,260759,84.0,66,46,2019,1.0,1.0,5.5,2.0
1803,2020-03-09,1248804,1224661.88,522542.00,HIDDEN,Canceled per County,,,2.0,1.0,2664.0,14595.0,1219363,60.0,66,62,2019,0.0,1.0,5.0,2.0
1804,2020-03-09,1240409,16531.74,127223.00,HIDDEN,Canceled per Order,,,2.0,2.0,965.0,0.0,175500,101.0,66,34,2018,0.0,1.0,7.0,1.0
1805,2020-03-09,1249214,193321.49,98542.00,HIDDEN,Canceled per Order,,,2.0,1.0,1201.0,6000.0,258870,67.0,66,65,2019,0.0,1.0,2.0,3.0
1806,2020-03-09,1252273,161396.65,68203.00,HIDDEN,Sold to Plaintiff,100000.00,09:56 AM,2.0,1.0,770.0,0.0,126349,89.0,66,11,2015,1.0,1.0,5.0,2.0
1807,2020-03-09,1248318,181224.81,152959.00,HIDDEN,Sold to 3rd Party,185600.00,10:17 AM,2.0,1.0,1326.0,1.0,288091,99.0,66,35,2018,1.0,0.0,6.0,2.0
1808,2020-03-09,1239676,350688.21,281589.00,HIDDEN,Canceled per Order,,,4.0,3.0,2558.0,5000.0,378660,35.0,66,57,2019,0.0,0.0,3.0,2.0
1809,2020-03-04,1235518,795055.67,823279.00,HIDDEN,Canceled per Order,,,3.0,2.0,2481.0,5392.0,1337348,169.0,57,23,2018,0.0,1.0,10.0,2.0
1810,2020-03-04,1251992,544398.56,290593.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,2096.0,7250.0,524511,108.0,57,21,2018,0.0,0.0,8.0,4.0
1811,2020-03-04,1245919,275756.97,181497.00,HIDDEN,Sold to 3rd Party,246700.00,09:20 AM,4.0,3.0,2160.0,5290.0,321685,101.0,57,20,2018,1.0,0.0,3.0,1.0
1812,2020-03-04,1251866,445769.66,112917.00,HIDDEN,Canceled per Bankruptcy,,,4.0,2.0,1928.0,7612.0,0,87.0,57,19,2018,0.0,1.0,3.0,3.0
1813,2020-03-04,1252301,391704.97,195773.00,HIDDEN,Canceled per County,,,3.0,2.0,1450.0,7656.0,508394,88.0,57,22,2018,0.0,0.0,4.0,3.0
1814,2020-03-04,1249384,283631.00,161048.00,HIDDEN,Canceled per County,,,3.0,2.0,1676.0,7500.0,438191,87.0,57,15,2018,0.0,0.0,3.0,5.0
1815,2020-03-04,1249456,233542.82,203112.00,243000.00,Canceled per Order,,,3.0,2.0,1923.0,1.0,349851,96.0,57,17,2018,0.0,0.0,4.0,2.0
1816,2020-03-04,1249424,496359.23,282338.00,HIDDEN,Canceled per County,,,2.0,1.0,1421.0,7696.0,391668,94.0,57,16,2018,0.0,1.0,3.0,4.0
1817,2020-03-04,1252245,190529.57,201002.00,HIDDEN,Canceled per County,,,3.0,2.0,1511.0,4500.0,380147,104.0,57,18,2018,0.0,1.0,6.0,1.0
1818,2020-03-04,1251683,512376.90,215858.00,397000.00,Canceled per Bankruptcy,,,4.0,2.0,2345.0,9075.0,368922,128.0,57,10,2017,0.0,0.0,3.0,6.0
1819,2020-03-04,1245793,343327.87,293189.00,HIDDEN,Canceled per County,,,3.0,2.0,2214.0,5200.0,413309,108.0,57,11,2017,0.0,1.0,6.0,1.0
1820,2020-03-04,1250274,262123.37,195465.00,262123.37,Canceled per Bankruptcy,,,4.0,3.0,2511.0,4195.0,417897,209.0,57,1,2010,0.0,0.0,3.0,8.0
1821,2020-03-04,1243103,69189.71,136054.00,HIDDEN,Canceled per Order,,,3.0,1.0,840.0,7500.0,210069,106.0,57,26,2018,0.0,1.0,5.0,4.0
1823,2020-03-04,1251682,64442.97,91711.00,HIDDEN,Sold to Plaintiff,45100.00,09:04 AM,2.0,2.0,1470.0,0.0,147485,119.0,57,7,2016,1.0,1.0,6.0,3.0
1824,2020-03-04,1251267,582842.90,180983.00,378698.20,Sold to Plaintiff,200100.00,09:05 AM,3.0,2.0,1232.0,0.0,413234,161.0,57,8,2017,1.0,1.0,6.0,1.0
1828,2020-03-04,1251467,213937.90,104000.00,HIDDEN,Sold to Plaintiff,120600.00,10:15 AM,1.0,1.0,776.0,0.0,154530,65.0,57,46,2019,1.0,1.0,4.0,1.0
1829,2020-03-04,1252455,85266.15,75611.00,HIDDEN,Sold to Plaintiff,74200.00,10:10 AM,0.0,1.0,455.0,0.0,123642,57.0,57,45,2019,1.0,1.0,4.0,1.0
1830,2020-03-04,1252240,43594.80,93964.00,HIDDEN,Canceled per Order,,,2.0,1.0,844.0,0.0,153690,63.0,57,5,2016,0.0,1.0,2.0,4.0
1831,2020-03-04,1243723,861374.90,387047.00,HIDDEN,Sold to 3rd Party,326800.00,10:05 AM,4.0,2.0,2028.0,5639.0,517166,105.0,57,44,2019,1.0,1.0,9.0,1.0
1832,2020-03-04,1245796,273362.31,200002.00,HIDDEN,Canceled per Order,,,4.0,3.0,1674.0,2310.0,0,84.0,57,32,2018,0.0,1.0,9.0,2.0
1833,2020-03-04,1251264,149656.91,90801.00,157827.35,Sold to Plaintiff,125800.00,09:27 AM,3.0,2.0,1407.0,0.0,196163,79.0,57,33,2018,1.0,1.0,4.0,3.0
1834,2020-03-04,1252247,24306.00,70301.00,HIDDEN,Sold to 3rd Party,175000.00,09:39 AM,2.0,1.0,1675.0,10441.0,280856,111.0,57,36,2018,1.0,1.0,8.0,1.0
1835,2020-03-04,1252457,123458.81,74902.00,HIDDEN,Canceled per Bankruptcy,,,2.0,1.0,804.0,0.0,202859,104.0,57,14,2018,0.0,1.0,4.0,1.0
1836,2020-03-04,1251468,473003.28,202236.00,HIDDEN,Sold to Plaintiff,285100.00,09:09 AM,3.0,2.0,1620.0,8276.0,367412,88.0,57,12,2017,1.0,1.0,8.0,1.0
1837,2020-03-04,1251983,12971.27,172497.00,17460.00,Canceled per Order,,,3.0,2.0,1035.0,30100.0,289630,196.0,57,25,2018,0.0,0.0,3.0,4.0
1838,2020-03-04,1243013,374491.00,323438.00,HIDDEN,Canceled per Bankruptcy,,,3.0,3.0,2577.0,6750.0,495648,106.0,57,24,2018,0.0,1.0,12.0,3.0
1839,2020-03-04,1252254,652709.90,563403.00,652954.90,Canceled per Order,,,5.0,3.0,3928.0,16117.0,565010,51.0,57,55,2019,0.0,0.0,2.0,1.0
1841,2020-03-04,1250255,264718.24,37016.00,HIDDEN,Sold to Plaintiff,86100.00,09:25 AM,2.0,1.0,845.0,0.0,119792,63.0,57,30,2018,1.0,1.0,4.0,2.0
1842,2020-03-04,1250677,5006477.00,2860000.00,HIDDEN,Sold to Plaintiff,838200.00,09:23 AM,0.0,0.0,9527.0,81487.0,638730,97.0,57,27,2018,1.0,0.0,7.0,2.0
1843,2020-03-04,1251919,615117.49,405570.00,642167.91,Sold to Plaintiff,35100.00,09:24 AM,4.0,4.0,3053.0,5500.0,564750,108.0,57,28,2018,1.0,1.0,4.0,2.0
1844,2020-03-04,1252402,175016.97,82505.00,HIDDEN,Canceled per County,,,1.0,1.0,676.0,0.0,130975,92.0,57,43,2019,0.0,1.0,4.0,2.0
1845,2020-03-04,1252452,74250.33,148841.00,HIDDEN,Sold to 3rd Party,200300.00,10:02 AM,1.0,1.0,1148.0,0.0,171126,69.0,57,41,2019,1.0,1.0,3.0,1.0
1846,2020-03-04,1252465,310038.47,167000.00,HIDDEN,Sold to 3rd Party,190500.00,10:03 AM,2.0,2.0,870.0,0.0,219369,65.0,57,42,2019,1.0,1.0,4.0,1.0
1847,2020-03-04,1252459,225821.06,91710.00,78650.00,Sold to 3rd Party,123500.00,09:52 AM,2.0,1.0,859.0,3500.0,170132,142.0,57,40,2019,1.0,1.0,8.0,1.0
1848,2020-03-04,1252414,43419.12,792722.00,43419.12,Sold to 3rd Party,422000.00,09:41 AM,2.0,2.0,1595.0,0.0,949521,61.0,57,39,2019,1.0,1.0,1.0,1.0
1849,2020-03-04,1252241,7196.00,300000.00,652954.90,Other,,,3.0,2.0,2245.0,2080.0,390044,41.0,57,56,2019,,1.0,2.0,1.0
1850,2020-03-04,1252046,16960.65,222779.00,HIDDEN,Sold to 3rd Party,166100.00,10:23 AM,2.0,2.0,1300.0,0.0,305815,38.0,57,57,2019,1.0,1.0,2.0,1.0
1851,2020-03-04,1251891,447975.70,161621.00,HIDDEN,Canceled per Bankruptcy,,,3.0,2.0,1472.0,4926.0,350252,127.0,57,13,2018,0.0,0.0,4.0,2.0
1852,2020-03-04,1249619,254260.73,74563.00,HIDDEN,Canceled per County,,,2.0,1.0,1197.0,7500.0,292189,44.0,57,54,2019,0.0,0.0,3.0,2.0
1853,2020-03-04,1252431,226844.40,161438.00,206000.00,Canceled per County,,,3.0,2.0,1231.0,5121.0,260427,79.0,57,53,2019,0.0,0.0,2.0,3.0
1854,2020-03-04,1252554,88819.50,185095.00,HIDDEN,Canceled per Order,,,2.0,1.0,1178.0,5450.0,435702,54.0,57,51,2019,0.0,0.0,2.0,2.0
1855,2020-03-04,1252238,157283.75,206777.00,HIDDEN,Canceled per Order,,,3.0,2.0,1943.0,10600.0,319215,92.0,57,47,2019,0.0,1.0,2.0,3.0
1857,2020-03-04,1252553,688330.86,412175.00,HIDDEN,Sold to 3rd Party,485100.00,10:17 AM,5.0,4.0,3727.0,6094.0,660243,63.0,57,49,2019,1.0,1.0,2.0,1.0
1858,2020-03-04,1252458,1134118.61,683199.00,HIDDEN,Canceled per Bankruptcy,,,5.0,3.0,6338.0,15971.0,937241,95.0,57,29,2018,0.0,0.0,4.0,1.0
1859,2020-03-04,1250264,329753.65,258808.00,HIDDEN,Canceled per Bankruptcy,,,4.0,3.0,2760.0,10575.0,414259,90.0,57,2,2012,0.0,0.0,4.0,2.0
1860,2020-03-04,1251709,102020.97,146582.00,HIDDEN,Canceled per Order,,,2.0,1.0,1354.0,3045.0,265459,130.0,57,3,2015,0.0,1.0,4.0,7.0
1861,2020-03-04,1250222,421574.03,147516.00,HIDDEN,Canceled per County,,,4.0,3.0,1685.0,6000.0,302505,101.0,57,4,2016,0.0,0.0,5.0,2.0
1862,2020-03-04,1252463,573275.61,524669.00,449000.00,Sold to 3rd Party,449100.00,09:26 AM,5.0,3.0,3026.0,5500.0,645315,89.0,57,31,2018,1.0,1.0,2.0,1.0
1863,2020-03-04,1250639,197692.55,629654.00,206451.22,Canceled per Order,,,7.0,4.0,4534.0,29769.0,897783,60.0,57,37,2018,0.0,0.0,3.0,3.0
1864,2020-03-04,1252469,7877.78,177029.00,HIDDEN,Canceled per Order,,,3.0,3.0,1476.0,0.0,273276,31.0,57,35,2018,0.0,0.0,1.0,1.0
1865,2020-03-04,1252568,8043.05,60991.00,HIDDEN,Canceled per County,,,2.0,2.0,965.0,0.0,175694,79.0,57,38,2019,0.0,1.0,6.0,1.0
1866,2020-03-03,1247805,210704.80,66604.00,HIDDEN,Sold to 3rd Party,220000.00,09:24 AM,3.0,2.0,1221.0,4500.0,252289,78.0,8,8,2019,1.0,0.0,3.0,2.0
1867,2020-03-03,1247809,849152.50,534000.00,HIDDEN,Sold to Plaintiff,672750.00,09:01 AM,2.0,2.0,1266.0,0.0,655140,354.0,8,1,2013,1.0,1.0,81.0,3.0
1868,2020-03-03,1243960,61071.39,173373.00,61071.39,Canceled per Order,,,1.0,1.0,664.0,0.0,255756,59.0,8,7,2019,0.0,1.0,2.0,2.0
1869,2020-03-03,1248020,456340.58,180183.00,HIDDEN,Canceled per Order,,,4.0,1.0,2067.0,8560.0,373704,80.0,8,6,2018,0.0,0.0,5.0,3.0
